DXCC,Name,Prefix,Cont,CQZ,ITUZ,Lat,Lon,Deleted,ValidFrom,ValidTo
207,Rodriguez Island,3B9,AF,39,53,-19.70,63.40,0,,
208,Ruanda-Urundi,9U,AF,36,52,-2.00,30.10,1,1960-07-01T00:00:00+00:00,1962-06-30T23:59:59+00:00
209,Belgium,ON,EU,14,27,50.90,4.40,0,,
210,Saar,9S4,EU,14,28,49.20,7.00,1,,1957-03-31T23:59:59+00:00
211,Sable Island,CY0,NA,5,9,43.80,-60.00,0,,
212,Bulgaria,LZ,EU,20,28,42.70,23.30,0,,
213,St. Martin,FS,NA,8,11,18.10,-63.10,0,,
214,Corsica,TK,EU,15,28,42.00,9.00,0,,
215,Cyprus,5B,AS,20,39,35.20,33.40,0,,
216,San Andres & Providencia,HK0S,NA,7,11,12.50,-81.70,0,,
217,San Felix & San Ambrosio,CE0X,SA,12,14,-26.29,-80.10,0,,
218,Czechoslovakia,OK/D,EU,15,28,50.10,15.50,1,,1992-12-31T23:59:59+00:00
219,Sao Tome & Principe,S9,AF,36,47,0.30,6.70,0,,
220,Sarawak,VS4,OC,28,54,5.80,118.10,1,,1963-09-15T23:59:59+00:00
221,Denmark,OZ,EU,14,18,56.00,10.00,0,,
222,Faroe Islands,OY,EU,14,18,62.00,-6.80,0,,
223,England,G,EU,14,27,51.50,-0.10,0,,
224,Finland,OH,EU,15,18,60.20,25.00,0,,
225,Sardinia,IS0,EU,15,28,39.20,9.10,0,,
226,Saudi Arabia/Iraq Neut. Zone,8Z4,AS,21,39,30.00,43.50,1,,1981-12-25T23:59:59+00:00
227,France,F,EU,14,27,46.00,2.00,0,,
228,Serrana Bank & Roncador Cay,HK0/S,NA,7,11,14.20,-80.15,1,,1981-09-16T23:59:59+00:00
229,German Dem. Rep.,DM,EU,14,28,51.00,10.00,1,1973-09-17T00:00:00+00:00,1990-10-02T23:59:59+00:00
230,Fed. Rep. of Germany,DL,EU,14,28,51.00,10.00,0,1973-09-17T00:00:00+00:00,
231,Sikkim,AC3,AS,22,41,27.20,88.39,1,,1975-04-30T23:59:59+00:00
232,Somalia,T5,AF,37,48,2.10,45.40,0,,
233,Gibraltar,ZB2,EU,14,37,36.10,-5.40,0,,
234,South Cook Islands,E5/S,OC,32,63,-21.20,-159.80,0,,
235,South Georgia Island,VP0G,SA,13,73,-54.28,-36.50,0,,
236,Greece,SV,EU,20,28,38.00,23.70,0,,
237,Greenland,OX,NA,40,5,62.50,-45.00,0,,
238,South Orkney Islands,VP8O,SA,13,73,-60.58,-45.50,0,,
239,Hungary,HA,EU,15,28,47.50,19.10,0,,
240,South Sandwich Islands,VP0S,SA,13,73,-59.45,-27.40,0,,
241,South Shetland Islands,VP8H,SA,13,73,-62.00,-58.00,0,,
242,Iceland,TF,EU,40,17,64.10,-22.00,0,,
243,People's Dem. Rep. of Yemen,VS9A,AS,21,39,12.80,45.00,1,,1990-05-21T23:59:59+00:00
244,Southern Sudan,ST0/D,AF,34,47,7.00,32.50,1,1972-05-07T00:00:00+00:00,1994-12-31T23:59:59+00:00
245,Ireland,EI,EU,14,27,53.30,-6.30,0,,
246,Sov Mil Order of Malta,1A0,EU,15,28,41.89,12.47,0,,
247,Spratly Islands,1S,AS,26,50,8.80,111.90,0,,
248,Italy,I,EU,15,28,41.90,12.50,0,,
249,St. Kitts & Nevis,V4,NA,8,11,17.30,-62.60,0,,
250,St. Helena,ZD7,AF,36,66,-16.00,-5.90,0,,
251,Liechtenstein,HB0,EU,14,28,47.14,9.55,0,,
252,St. Paul Island,CY9,NA,5,9,47.20,-60.15,0,,
253,St. Peter & St. Paul,PY0S,SA,11,13,1.00,-29.40,0,,
254,Luxembourg,LX,EU,14,27,49.60,6.20,0,,
255,Sint Maarten Saba St Eustatius,PJ7/D,NA,8,11,17.70,-63.20,1,,2010-10-09T04:00:00+00:00
256,Madeira Islands,CT3,AF,33,36,32.60,-16.90,0,,
257,Malta,9H,EU,15,28,36.00,14.40,0,,
258,Sumatra,PK4,OC,28,54,-1.00,100.21,1,,1963-04-30T23:59:59+00:00
259,Svalbard,JW,EU,40,18,78.80,16.00,0,,
260,Monaco,3A,EU,14,27,43.74,7.43,0,,
261,Swan Is.,KS4,NA,7,11,7.25,-83.56,1,,1972-08-31T23:59:59+00:00
