Prefix,Exact,DXCC,CQZ,ITUZ,Cont,Lat,Lon,ValidFrom,ValidTo
VP2E,0,12,8,0,,,,,
VP2M,0,96,8,0,,,,,
VP2V,0,65,8,0,,,,,
VP5,0,89,8,0,,,,,
VP8,0,141,13,0,,,,,
VU,0,324,22,0,,,,,
8T,0,324,22,0,,,,,
8U,0,324,22,0,,,,,
8V,0,324,22,0,,,,,
8W,0,324,22,0,,,,,
8X,0,324,22,0,,,,,
8Y,0,324,22,0,,,,,
AT,0,324,22,0,,,,,
AU,0,324,22,0,,,,,
AV,0,324,22,0,,,,,
AW,0,324,22,0,,,,,
VT,0,324,22,0,,,,,
VV,0,324,22,0,,,,,
VW,0,324,22,0,,,,,
VU4,0,11,26,0,,,,,
XE,0,50,6,0,,,,,
4A,0,50,6,0,,,,,
4B,0,50,6,0,,,,,
4C,0,50,6,0,,,,,
6D,0,50,6,0,,,,,
6E,0,50,6,0,,,,,
6F,0,50,6,0,,,,,
6G,0,50,6,0,,,,,
6H,0,50,6,0,,,,,
6I,0,50,6,0,,,,,
6J,0,50,6,0,,,,,
XB,0,50,6,0,,,,,
XC,0,50,6,0,,,,,
XD,0,50,6,0,,,,,
XF,0,50,6,0,,,,,
XG,0,50,6,0,,,,,
XH,0,50,6,0,,,,,
XI,0,50,6,0,,,,,
XF4,0,204,6,0,,,,,
4A4,0,204,6,0,,,,,
4B4,0,204,6,0,,,,,
4C4,0,204,6,0,,,,,
6D4,0,204,6,0,,,,,
6E4,0,204,6,0,,,,,
6F4,0,204,6,0,,,,,
6G4,0,204,6,0,,,,,
6H4,0,204,6,0,,,,,
6I4,0,204,6,0,,,,,
6J4,0,204,6,0,,,,,
XA4,0,204,6,0,,,,,
XB4,0,204,6,0,,,,,
XC4,0,204,6,0,,,,,
XD4,0,204,6,0,,,,,
XE4,0,204,6,0,,,,,
XG4,0,204,6,0,,,,,
XH4,0,204,6,0,,,,,
XI4,0,204,6,0,,,,,
XW,0,143,26,0,,,,,
XX9,0,152,24,0,,,,,
XZ,0,309,26,0,,,,,
XY,0,309,26,0,,,,,
YA,0,3,21,0,,,,,
T6,0,3,21,0,,,,,
YB,0,327,28,0,,,,,
7A,0,327,28,0,,,,,
7B,0,327,28,0,,,,,
7C,0,327,28,0,,,,,
7D,0,327,28,0,,,,,
7E,0,327,28,0,,,,,
7F,0,327,28,0,,,,,
7G,0,327,28,0,,,,,
7H,0,327,28,0,,,,,
7I,0,327,28,0,,,,,
8A,0,327,28,0,,,,,
8B,0,327,28,0,,,,,
8C,0,327,28,0,,,,,
8D,0,327,28,0,,,,,
8E,0,327,28,0,,,,,
8F,0,327,28,0,,,,,
8G,0,327,28,0,,,,,
8H,0,327,28,0,,,,,
8I,0,327,28,0,,,,,
PL,0,327,28,0,,,,,
PM,0,327,28,0,,,,,
PN,0,327,28,0,,,,,
PO,0,327,28,0,,,,,
YC,0,327,28,0,,,,,
YD,0,327,28,0,,,,,
YE,0,327,28,0,,,,,
YF,0,327,28,0,,,,,
YG,0,327,28,0,,,,,
YH,0,327,28,0,,,,,
YI,0,333,21,0,,,,,
HN,0,333,21,0,,,,,
YJ,0,158,32,0,,,,,
YK,0,384,20,0,,,,,
YN,0,86,7,0,,,,,
H6,0,86,7,0,,,,,
